features,classifiers,microf
best,KNN,0.647
best,LogisticRegression,0.634
best,NaiveBayes,0.281
best,NNkeras,0.623
best,NNscikit-learn,0.640
best,RandomForest,0.605
all,KNN,0.661
all,LogisticRegression,0.603
all,NaiveBayes,0.652
all,NNkeras,0.641
all,NNscikit-learn,0.519
all,RandomForest,0.696
vectorAll,KNN,0.639
vectorAll,LogisticRegression,0.587
vectorAll,NaiveBayes,0.520
vectorAll,NNkeras,0.680
vectorAll,NNscikit-learn,0.590
vectorAll,RandomForest,0.696
