features,classifiers,microf
sentiment,KNN,0.659
sentiment,LogisticRegression,0.681
sentiment,NaiveBayes,0.681
sentiment,NNkeras,0.681
sentiment,NNscikit-learn,0.681
sentiment,RandomForest,0.681
spelling,KNN,0.638
spelling,LogisticRegression,0.681
spelling,NaiveBayes,0.681
spelling,NNkeras,0.681
spelling,NNscikit-learn,0.681
spelling,RandomForest,0.623
syntax,KNN,0.648
syntax,LogisticRegression,0.681
syntax,NaiveBayes,0.679
syntax,NNkeras,0.681
syntax,NNscikit-learn,0.681
syntax,RandomForest,0.549
