features,classifiers,microf
graph,KNN,0.564
graph,LogisticRegression,0.557
graph,NaiveBayes,0.559
graph,NNkeras,0.569
graph,NNscikit-learn,0.565
graph,RandomForest,0.551
bow,KNN,0.637
bow,LogisticRegression,0.686
bow,NaiveBayes,0.131
bow,NNkeras,0.686
bow,NNscikit-learn,0.687
bow,RandomForest,0.686
word2vec,KNN,0.353
word2vec,LogisticRegression,0.337
word2vec,NaiveBayes,0.394
word2vec,NNkeras,0.351
word2vec,NNscikit-learn,0.350
word2vec,RandomForest,0.340
