features,classifiers,macrof
vectorAll,RandomForest,0.362
vectorAll,KNN,0.319
vectorAll,LogisticRegression,0.552
vectorAll,NaiveBayes,0.642
vectorAll,NNkeras,0.346
vectorAll,NNscikit-learn,0.410
vectorAll,RandomForest,0.529
vectorAll,KNN,0.300
vectorAll,LogisticRegression,0.519
vectorAll,NaiveBayes,0.639
vectorAll,NNkeras,0.410
vectorAll,NNscikit-learn,0.460
vectorAll,RandomForest,0.505
vectorAll,KNN,0.320
vectorAll,LogisticRegression,0.479
vectorAll,NaiveBayes,0.651
vectorAll,NNkeras,0.290
vectorAll,NNscikit-learn,0.495
vectorAll,RandomForest,0.516
vectorAll,KNN,0.307
vectorAll,LogisticRegression,0.459
vectorAll,NaiveBayes,0.621
vectorAll,NNkeras,0.386
vectorAll,NNscikit-learn,0.502
vectorAll,RandomForest,0.476
vectorAll,KNN,0.321
vectorAll,LogisticRegression,0.477
vectorAll,NaiveBayes,0.661
vectorAll,NNkeras,0.381
vectorAll,NNscikit-learn,0.407
vectorAll,RandomForest,0.578
vectorAll,KNN,0.309
vectorAll,LogisticRegression,0.524
vectorAll,NaiveBayes,0.687
vectorAll,NNkeras,0.290
vectorAll,NNscikit-learn,0.384
vectorAll,RandomForest,0.498
bow,KNN,0.607
bow,LogisticRegression,0.622
bow,NaiveBayes,0.414
bow,NNkeras,0.617
bow,NNscikit-learn,0.618
bow,RandomForest,0.627
bow,KNN,0.346
bow,LogisticRegression,0.330
bow,NaiveBayes,0.209
bow,NNkeras,0.332
bow,NNscikit-learn,0.351
bow,RandomForest,0.353
bow,KNN,0.647
bow,LogisticRegression,0.662
bow,NaiveBayes,0.379
bow,NNkeras,0.646
bow,NNscikit-learn,0.664
bow,RandomForest,0.653
bow,KNN,0.327
bow,LogisticRegression,0.334
bow,NaiveBayes,0.201
bow,NNkeras,0.331
bow,NNscikit-learn,0.347
bow,RandomForest,0.345
bow,KNN,0.333
bow,LogisticRegression,0.327
bow,NaiveBayes,0.145
bow,NNkeras,0.336
bow,NNscikit-learn,0.333
bow,RandomForest,0.338
bow,KNN,0.622
bow,LogisticRegression,0.614
bow,NaiveBayes,0.402
bow,NNkeras,0.659
bow,NNscikit-learn,0.646
bow,RandomForest,0.612
bow,KNN,0.619
bow,LogisticRegression,0.632
bow,NaiveBayes,0.400
bow,NNkeras,0.640
bow,NNscikit-learn,0.635
bow,RandomForest,0.641
bow,KNN,0.612
bow,LogisticRegression,0.624
bow,NaiveBayes,0.405
bow,NNkeras,0.622
bow,NNscikit-learn,0.619
bow,RandomForest,0.617
bow,KNN,0.634
bow,LogisticRegression,0.629
bow,NaiveBayes,0.382
bow,NNkeras,0.624
bow,NNscikit-learn,0.627
bow,RandomForest,0.618
bow,KNN,0.359
bow,LogisticRegression,0.342
bow,NaiveBayes,0.138
bow,NNkeras,0.346
bow,NNscikit-learn,0.349
bow,RandomForest,0.350
charngrams,KNN,0.322
charngrams,LogisticRegression,0.290
charngrams,NaiveBayes,0.299
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.355
charngrams,RandomForest,0.342
charngrams,KNN,0.330
charngrams,LogisticRegression,0.297
charngrams,NaiveBayes,0.317
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.322
charngrams,RandomForest,0.312
charngrams,KNN,0.320
charngrams,LogisticRegression,0.282
charngrams,NaiveBayes,0.300
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.322
charngrams,RandomForest,0.301
charngrams,KNN,0.311
charngrams,LogisticRegression,0.265
charngrams,NaiveBayes,0.261
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.342
charngrams,RandomForest,0.267
charngrams,KNN,0.324
charngrams,LogisticRegression,0.290
charngrams,NaiveBayes,0.294
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.321
charngrams,RandomForest,0.310
charngrams,KNN,0.310
charngrams,LogisticRegression,0.290
charngrams,NaiveBayes,0.306
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.376
charngrams,RandomForest,0.323
charngrams,KNN,0.306
charngrams,LogisticRegression,0.290
charngrams,NaiveBayes,0.310
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.350
charngrams,RandomForest,0.319
charngrams,KNN,0.301
charngrams,LogisticRegression,0.303
charngrams,NaiveBayes,0.313
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.333
charngrams,RandomForest,0.309
charngrams,KNN,0.329
charngrams,LogisticRegression,0.301
charngrams,NaiveBayes,0.286
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.361
charngrams,RandomForest,0.308
charngrams,KNN,0.316
charngrams,LogisticRegression,0.290
charngrams,NaiveBayes,0.311
charngrams,NNkeras,0.290
charngrams,NNscikit-learn,0.340
charngrams,RandomForest,0.304
ngrams,KNN,0.324
ngrams,LogisticRegression,0.328
ngrams,NaiveBayes,0.299
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.355
ngrams,RandomForest,0.332
ngrams,KNN,0.314
ngrams,LogisticRegression,0.284
ngrams,NaiveBayes,0.317
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.311
ngrams,RandomForest,0.315
ngrams,KNN,0.291
ngrams,LogisticRegression,0.289
ngrams,NaiveBayes,0.303
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.324
ngrams,RandomForest,0.287
ngrams,KNN,0.254
ngrams,LogisticRegression,0.275
ngrams,NaiveBayes,0.261
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.305
ngrams,RandomForest,0.264
ngrams,KNN,0.287
ngrams,LogisticRegression,0.290
ngrams,NaiveBayes,0.290
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.328
ngrams,RandomForest,0.290
ngrams,KNN,0.302
ngrams,LogisticRegression,0.322
ngrams,NaiveBayes,0.304
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.301
ngrams,RandomForest,0.297
ngrams,KNN,0.298
ngrams,LogisticRegression,0.290
ngrams,NaiveBayes,0.307
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.329
ngrams,RandomForest,0.329
ngrams,KNN,0.310
ngrams,LogisticRegression,0.296
ngrams,NaiveBayes,0.311
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.321
ngrams,RandomForest,0.303
ngrams,KNN,0.307
ngrams,LogisticRegression,0.295
ngrams,NaiveBayes,0.282
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.316
ngrams,RandomForest,0.287
ngrams,KNN,0.300
ngrams,LogisticRegression,0.290
ngrams,NaiveBayes,0.310
ngrams,NNkeras,0.290
ngrams,NNscikit-learn,0.325
ngrams,RandomForest,0.299
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.037
sentiment,LogisticRegression,0.037
sentiment,NaiveBayes,0.037
sentiment,NNkeras,0.037
sentiment,NNscikit-learn,0.037
sentiment,RandomForest,0.037
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
sentiment,KNN,0.290
sentiment,LogisticRegression,0.290
sentiment,NaiveBayes,0.290
sentiment,NNkeras,0.290
sentiment,NNscikit-learn,0.290
sentiment,RandomForest,0.290
spelling,KNN,0.327
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.326
spelling,KNN,0.301
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.336
spelling,KNN,0.328
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.320
spelling,KNN,0.326
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.322
spelling,KNN,0.329
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.329
spelling,KNN,0.344
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.337
spelling,KNN,0.325
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.334
spelling,KNN,0.346
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.334
spelling,KNN,0.322
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.364
spelling,KNN,0.324
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.334
syntax,KNN,0.331
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.341
syntax,KNN,0.358
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.335
syntax,KNN,0.315
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.348
syntax,KNN,0.386
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.357
syntax,KNN,0.423
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.332
syntax,KNN,0.331
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.377
syntax,KNN,0.335
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.344
syntax,KNN,0.334
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.327
syntax,KNN,0.323
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.342
syntax,KNN,0.387
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.338
word2vec,KNN,0.563
word2vec,LogisticRegression,0.527
word2vec,NaiveBayes,0.487
word2vec,NNkeras,0.590
word2vec,NNscikit-learn,0.607
word2vec,RandomForest,0.563
word2vec,KNN,0.522
word2vec,LogisticRegression,0.531
word2vec,NaiveBayes,0.508
word2vec,NNkeras,0.566
word2vec,NNscikit-learn,0.591
word2vec,RandomForest,0.535
word2vec,KNN,0.587
word2vec,LogisticRegression,0.575
word2vec,NaiveBayes,0.510
word2vec,NNkeras,0.606
word2vec,NNscikit-learn,0.637
word2vec,RandomForest,0.593
word2vec,KNN,0.510
word2vec,LogisticRegression,0.535
word2vec,NaiveBayes,0.491
word2vec,NNkeras,0.595
word2vec,NNscikit-learn,0.575
word2vec,RandomForest,0.557
word2vec,KNN,0.546
word2vec,LogisticRegression,0.534
word2vec,NaiveBayes,0.497
word2vec,NNkeras,0.581
word2vec,NNscikit-learn,0.606
word2vec,RandomForest,0.509
word2vec,KNN,0.538
word2vec,LogisticRegression,0.524
word2vec,NaiveBayes,0.478
word2vec,NNkeras,0.589
word2vec,NNscikit-learn,0.604
word2vec,RandomForest,0.544
word2vec,KNN,0.552
word2vec,LogisticRegression,0.526
word2vec,NaiveBayes,0.523
word2vec,NNkeras,0.609
word2vec,NNscikit-learn,0.588
word2vec,RandomForest,0.532
word2vec,KNN,0.509
word2vec,LogisticRegression,0.493
word2vec,NaiveBayes,0.497
word2vec,NNkeras,0.586
word2vec,NNscikit-learn,0.564
word2vec,RandomForest,0.503
word2vec,KNN,0.572
word2vec,LogisticRegression,0.545
word2vec,NaiveBayes,0.521
word2vec,NNkeras,0.615
word2vec,NNscikit-learn,0.623
word2vec,RandomForest,0.563
word2vec,KNN,0.549
word2vec,LogisticRegression,0.532
word2vec,NaiveBayes,0.483
word2vec,NNkeras,0.559
word2vec,NNscikit-learn,0.572
word2vec,RandomForest,0.455
